"","Actual","Pred","Pred.lower","Pred.upper","Pred.sd","AbsEffect","AbsEffect.lower","AbsEffect.upper","AbsEffect.sd","RelEffect","RelEffect.lower","RelEffect.upper","RelEffect.sd","alpha","p","CTNAME"
"Average49",1474.51020408163,5874.18725943593,3010.90754315763,9016.18000884,1681.04797091954,-4399.67705535429,-7541.66980475836,-1536.397339076,1681.04797091954,-0.74898481458638,-1.28386608592429,-0.261550623298232,0.286175414006288,0.05,0.0277777777777778,40540
"Cumulative49",72251,287835.17571236,147534.469614724,441792.82043316,82371.3505750575,-215584.17571236,-369541.82043316,-75283.469614724,82371.3505750575,-0.74898481458638,-1.28386608592429,-0.261550623298232,0.286175414006288,0.05,0.0277777777777778,40540
"Average50",800.122448979592,3193.14774883535,2278.35587820659,4042.72063380492,466.287360648572,-2393.02529985576,-3242.59818482533,-1478.233429227,466.287360648572,-0.749425171675372,-1.01548642276513,-0.462939251641631,0.146027493033682,0.05,0.00258397932816537,40550
"Cumulative50",39206,156464.239692932,111639.438032123,198093.311056441,22848.08067178,-117258.239692932,-158887.311056441,-72433.4380321229,22848.08067178,-0.749425171675371,-1.01548642276513,-0.462939251641632,0.146027493033682,0.05,0.00258397932816537,40550
"Average51",871.938775510204,5836.34140539946,-2233.30672087693,13942.8215853787,4323.30019102443,-4964.40262988925,-13070.8828098685,3105.24549638714,4323.30019102443,-0.850601821424714,-2.2395678905583,0.532053435653085,0.740755190747538,0.05,0.153846153846154,40560
"Cumulative51",42725,285980.728864573,-109432.02932297,683198.257683557,211841.709360197,-243255.728864573,-640473.257683557,152157.02932297,211841.709360197,-0.850601821424714,-2.2395678905583,0.532053435653085,0.740755190747538,0.05,0.153846153846154,40560
"Average52",785.877551020408,4250.06663502337,2740.72347148741,5704.24593666327,739.031403427429,-3464.18908400296,-4918.36838564287,-1954.845920467,739.031403427429,-0.815090534217921,-1.15724500531645,-0.459956534412372,0.173887015638136,0.05,0.000862068965517241,40570
"Cumulative52",38508,208253.265116145,134295.450102883,279508.0508965,36212.538767944,-169745.265116145,-241000.0508965,-95787.4501028831,36212.538767944,-0.815090534217921,-1.15724500531645,-0.459956534412372,0.173887015638136,0.05,0.000862068965517241,40570
"Average53",507.469387755102,1653.39066924593,1204.41245966382,2091.63059742286,219.125272195679,-1145.92128149083,-1584.16120966776,-696.94307190872,219.125272195679,-0.693073514206691,-0.958128795047726,-0.421523530326064,0.132530850857902,0.05,0.00088261253309797,40580
"Cumulative53",24866,81016.1427930507,59016.2105235273,102489.89927372,10737.1383375883,-56150.1427930507,-77623.8992737202,-34150.2105235273,10737.1383375883,-0.693073514206691,-0.958128795047726,-0.421523530326064,0.132530850857902,0.05,0.00088261253309797,40580
